Mean Radius	Outer_Ro	Outer_No	Inside_Ro	Inside_No	Expelled
   9.383	   10.848	     1735	   7.021	    1076	     100
   9.404	   10.872	     1739	   7.031	    1076	      96
   9.386	   10.851	     1734	   7.026	    1076	     101
   9.380	   10.840	     1731	   7.032	    1076	     104
   9.377	   10.833	     1730	   7.035	    1076	     105
   9.375	   10.833	     1727	   7.036	    1077	     107
   9.372	   10.824	     1729	   7.038	    1076	     106
   9.372	   10.828	     1729	   7.031	    1076	     106
   9.371	   10.826	     1729	   7.032	    1076	     106
   9.367	   10.822	     1728	   7.031	    1076	     107
   9.382	   10.843	     1730	   7.033	    1076	     105
   9.387	   10.842	     1732	   7.044	    1076	     103
   9.400	   10.857	     1732	   7.055	    1076	     103
   9.376	   10.837	     1730	   7.028	    1076	     105
   9.378	   10.830	     1728	   7.047	    1076	     107
   9.379	   10.835	     1728	   7.042	    1076	     107
   9.378	   10.827	     1728	   7.050	    1076	     107
   9.382	   10.832	     1728	   7.054	    1076	     107
   9.371	   10.824	     1728	   7.036	    1076	     107
   9.381	   10.833	     1729	   7.046	    1076	     106
   9.393	   10.854	     1732	   7.040	    1076	     103
   9.372	   10.832	     1727	   7.032	    1077	     107
   9.384	   10.838	     1728	   7.049	    1076	     107
   9.397	   10.854	     1733	   7.052	    1076	     102
   9.389	   10.846	     1730	   7.048	    1076	     105
   9.413	   10.877	     1735	   7.053	    1076	     100
   9.396	   10.854	     1733	   7.048	    1076	     102
   9.401	   10.865	     1736	   7.037	    1076	      99
   9.400	   10.867	     1737	   7.032	    1076	      98
   9.386	   10.846	     1732	   7.036	    1076	     103
   9.385	   10.843	     1732	   7.039	    1076	     103
   9.406	   10.872	     1736	   7.041	    1076	      99
   9.397	   10.859	     1735	   7.041	    1076	     100
   9.395	   10.855	     1737	   7.036	    1076	      98
   9.395	   10.862	     1735	   7.030	    1076	     100
   9.420	   10.897	     1742	   7.029	    1076	      93
   9.416	   10.884	     1739	   7.044	    1076	      96
   9.410	   10.876	     1738	   7.043	    1076	      97
   9.394	   10.861	     1737	   7.025	    1076	      98
   9.386	   10.853	     1735	   7.021	    1076	     100
   9.401	   10.867	     1737	   7.035	    1076	      98
   9.405	   10.872	     1739	   7.034	    1076	      96
   9.407	   10.871	     1740	   7.039	    1076	      95
   9.412	   10.878	     1739	   7.043	    1076	      96
   9.422	   10.898	     1742	   7.033	    1076	      93
   9.408	   10.879	     1740	   7.028	    1076	      95
   9.420	   10.890	     1742	   7.041	    1076	      93
   9.426	   10.898	     1745	   7.038	    1076	      90
   9.411	   10.884	     1741	   7.028	    1076	      94
   9.403	   10.874	     1738	   7.028	    1076	      97
   9.390	   10.851	     1734	   7.035	    1076	     101
   9.377	   10.842	     1734	   7.016	    1076	     101
   9.376	   10.832	     1731	   7.034	    1076	     104
   9.391	   10.857	     1735	   7.027	    1076	     100
   9.401	   10.867	     1737	   7.033	    1076	      98
   9.406	   10.875	     1742	   7.028	    1076	      93
   9.425	   10.895	     1742	   7.044	    1076	      93
   9.436	   10.913	     1746	   7.039	    1076	      89
   9.410	   10.879	     1740	   7.034	    1076	      95
   9.418	   10.890	     1745	   7.031	    1076	      90
   9.411	   10.884	     1742	   7.026	    1076	      93
   9.427	   10.904	     1746	   7.030	    1076	      89
   9.425	   10.903	     1746	   7.027	    1076	      89
   9.426	   10.902	     1748	   7.028	    1076	      87
   9.423	   10.898	     1747	   7.028	    1076	      88
   9.419	   10.896	     1748	   7.020	    1076	      87
   9.437	   10.915	     1748	   7.034	    1076	      87
   9.422	   10.896	     1744	   7.033	    1076	      91
   9.427	   10.904	     1748	   7.027	    1076	      87
   9.423	   10.897	     1747	   7.031	    1076	      88
   9.426	   10.901	     1748	   7.031	    1076	      87
   9.425	   10.902	     1750	   7.023	    1076	      85
   9.429	   10.902	     1748	   7.035	    1076	      87
   9.415	   10.890	     1746	   7.021	    1076	      89
   9.421	   10.896	     1747	   7.025	    1076	      88
   9.424	   10.897	     1746	   7.033	    1076	      89
   9.422	   10.896	     1747	   7.029	    1076	      88
   9.416	   10.889	     1745	   7.028	    1076	      90
   9.412	   10.884	     1744	   7.027	    1076	      91
   9.425	   10.900	     1747	   7.032	    1076	      88
   9.429	   10.904	     1749	   7.031	    1076	      86
   9.438	   10.921	     1749	   7.027	    1076	      86
   9.429	   10.910	     1747	   7.027	    1077	      87
   9.426	   10.900	     1746	   7.033	    1076	      89
   9.409	   10.880	     1742	   7.028	    1076	      93
   9.426	   10.901	     1745	   7.034	    1076	      90
   9.425	   10.895	     1747	   7.037	    1076	      88
   9.442	   10.923	     1751	   7.031	    1076	      84
   9.421	   10.899	     1747	   7.021	    1076	      88
   9.448	   10.927	     1751	   7.044	    1077	      83
   9.436	   10.920	     1751	   7.020	    1076	      84
   9.430	   10.906	     1747	   7.035	    1076	      88
   9.441	   10.921	     1750	   7.033	    1076	      85
   9.434	   10.912	     1751	   7.028	    1076	      84
   9.449	   10.931	     1754	   7.034	    1076	      81
   9.440	   10.923	     1754	   7.022	    1076	      81
   9.450	   10.927	     1755	   7.041	    1076	      80
   9.464	   10.951	     1759	   7.032	    1076	      76
   9.469	   10.955	     1760	   7.039	    1076	      75
   9.465	   10.951	     1759	   7.035	    1076	      76
   9.465	   10.956	     1757	   7.034	    1077	      77
