Mean Radius	Outer_Ro	Outer_No	Inside_Ro	Inside_No	Expelled
   9.383	   10.349	       83	   7.443	      35	      10
   9.404	   10.326	       83	   7.436	      35	      10
   9.386	   10.340	       83	   7.443	      35	      10
   9.380	   10.340	       83	   7.453	      35	      10
   9.377	   10.303	       82	   7.468	      36	      10
   9.375	   10.371	       82	   7.419	      36	      10
   9.372	   10.392	       83	   7.346	      35	      10
   9.372	   10.345	       82	   7.456	      36	      10
   9.371	   10.334	       83	   7.410	      35	      10
   9.367	   10.337	       83	   7.461	      35	      10
   9.382	   10.368	       82	   7.526	      36	      10
   9.387	   10.357	       83	   7.445	      35	      10
   9.400	   10.388	       81	   7.550	      37	      10
   9.376	   10.338	       83	   7.465	      35	      10
   9.378	   10.387	       83	   7.443	      35	      10
   9.379	   10.386	       83	   7.481	      35	      10
   9.378	   10.333	       82	   7.480	      36	      10
   9.382	   10.361	       81	   7.505	      37	      10
   9.371	   10.337	       83	   7.441	      35	      10
   9.381	   10.355	       83	   7.435	      35	      10
   9.393	   10.355	       83	   7.422	      35	      10
   9.372	   10.306	       83	   7.413	      35	      10
   9.384	   10.399	       83	   7.415	      35	      10
   9.397	   10.403	       82	   7.466	      36	      10
   9.389	   10.358	       83	   7.402	      35	      10
   9.413	   10.508	       84	   7.398	      35	       9
   9.396	   10.426	       83	   7.426	      36	       9
   9.401	   10.374	       81	   7.531	      37	      10
   9.400	   10.383	       82	   7.391	      36	      10
   9.386	   10.353	       82	   7.492	      36	      10
   9.385	   10.367	       83	   7.399	      35	      10
   9.406	   10.562	       85	   7.424	      35	       8
   9.397	   10.500	       84	   7.520	      35	       9
   9.395	   10.441	       84	   7.494	      35	       9
   9.395	   10.536	       85	   7.384	      35	       8
   9.420	   10.532	       84	   7.465	      36	       8
   9.416	   10.473	       84	   7.474	      35	       9
   9.410	   10.490	       84	   7.489	      35	       9
   9.394	   10.346	       83	   7.514	      35	      10
   9.386	   10.343	       82	   7.468	      36	      10
   9.401	   10.334	       83	   7.472	      35	      10
   9.405	   10.345	       83	   7.504	      35	      10
   9.407	   10.436	       84	   7.373	      35	       9
   9.412	   10.325	       83	   7.448	      35	      10
   9.422	   10.365	       82	   7.470	      36	      10
   9.408	   10.356	       83	   7.407	      35	      10
   9.420	   10.393	       83	   7.370	      35	      10
   9.426	   10.489	       84	   7.378	      35	       9
   9.411	   10.350	       83	   7.417	      35	      10
   9.403	   10.331	       83	   7.462	      35	      10
   9.390	   10.306	       83	   7.415	      35	      10
   9.377	   10.338	       82	   7.536	      36	      10
   9.376	   10.371	       83	   7.453	      35	      10
   9.391	   10.362	       83	   7.474	      35	      10
   9.401	   10.333	       83	   7.416	      35	      10
   9.406	   10.380	       82	   7.448	      36	      10
   9.425	   10.371	       82	   7.491	      36	      10
   9.436	   10.442	       84	   7.394	      35	       9
   9.410	   10.459	       84	   7.396	      35	       9
   9.418	   10.408	       84	   7.384	      35	       9
   9.411	   10.298	       83	   7.419	      35	      10
   9.427	   10.313	       83	   7.355	      35	      10
   9.425	   10.471	       83	   7.497	      36	       9
   9.426	   10.587	       85	   7.384	      35	       8
   9.423	   10.525	       85	   7.414	      35	       8
   9.419	   10.564	       85	   7.395	      35	       8
   9.437	   10.499	       84	   7.404	      35	       9
   9.422	   10.554	       85	   7.421	      35	       8
   9.427	   10.557	       85	   7.410	      35	       8
   9.423	   10.536	       84	   7.469	      36	       8
   9.426	   10.552	       85	   7.433	      35	       8
   9.425	   10.520	       85	   7.465	      35	       8
   9.429	   10.501	       85	   7.466	      35	       8
   9.415	   10.508	       85	   7.444	      35	       8
   9.421	   10.458	       85	   7.383	      35	       8
   9.424	   10.538	       85	   7.396	      35	       8
   9.422	   10.500	       85	   7.450	      35	       8
   9.416	   10.539	       85	   7.385	      35	       8
   9.412	   10.483	       84	   7.432	      35	       9
   9.425	   10.567	       85	   7.492	      35	       8
   9.429	   10.575	       85	   7.397	      35	       8
   9.438	   10.642	       86	   7.437	      35	       7
   9.429	   10.731	       84	   7.515	      37	       7
   9.426	   10.593	       84	   7.501	      36	       8
   9.409	   10.565	       85	   7.393	      35	       8
   9.426	   10.610	       84	   7.443	      36	       8
   9.425	   10.611	       85	   7.475	      35	       8
   9.442	   10.554	       85	   7.428	      35	       8
   9.421	   10.549	       85	   7.417	      35	       8
   9.448	   10.834	       86	   7.527	      36	       6
   9.436	   10.620	       85	   7.454	      35	       8
   9.430	   10.571	       84	   7.521	      36	       8
   9.441	   10.682	       85	   7.540	      36	       7
   9.434	   10.594	       85	   7.435	      35	       8
   9.449	   10.800	       86	   7.536	      36	       6
   9.440	   10.779	       87	   7.422	      35	       6
   9.450	   10.784	       85	   7.537	      37	       6
   9.464	   10.719	       87	   7.450	      35	       6
   9.469	   10.951	       89	   7.415	      35	       4
   9.465	   10.706	       86	   7.518	      36	       6
   9.465	   10.932	       88	   7.466	      36	       4
