Frame	Thickness of Dendron Layer
1	1.3154637697822906
2	1.2909018020103833
3	1.3700511313402082
4	1.299554926586831
5	1.3324621096960172
6	1.3582986345088806
7	1.394074079685982
8	1.3726796060639828
9	1.3364132876989565
10	1.4006395415343906
11	1.3145816017081327
12	1.2756074919341032
13	1.3252135851886067
14	1.288081997483399
15	1.3272028526758763
16	1.331840010683715
17	1.4245034759430606
18	1.3394037301292556
19	1.3747685737394768
20	1.39321617752144
21	1.3388041482912616
22	1.3190942103247476
23	1.3891062487659909
24	1.4266944811238798
25	1.4191091468018868
26	1.470057434394624
27	1.401342245306136
28	1.314365836053513
29	1.338000274584802
30	1.350939676363291
31	1.3337294232771093
32	1.4707966753709378
33	1.396854361122486
34	1.4135716272402377
35	1.5150326633369868
36	1.4512625810485353
37	1.4120728128984403
38	1.3234006460107057
39	1.2772896887616803
40	1.3516425507261172
41	1.2978869970533644
42	1.323882739940096
43	1.3893315030799585
44	1.244074391197147
45	1.2585068779177355
46	1.3052616611710537
47	1.3187654505236104
48	1.3750952807967725
49	1.2850406790176478
50	1.2736149810944575
51	1.2855989696063528
52	1.3210812644696102
53	1.3737063206618334
54	1.3109924894892107
55	1.312227173274529
56	1.302202568712497
57	1.2919200569577196
58	1.3305759633747964
59	1.4002324096888454
60	1.3656516944360781
61	1.2639389124410645
62	1.2070059280015872
63	1.3203227145412892
64	1.4682750607043893
65	1.4704296896221951
66	1.4603170598523931
67	1.3982232434312625
68	1.5099468398526117
69	1.4997046557340905
70	1.4699051508483123
71	1.4415370452783645
72	1.4240349650566149
73	1.4504232499174794
74	1.457832636410627
75	1.4069299226472705
76	1.480347671574732
77	1.467470307266412
78	1.4606190481604617
79	1.4030894019793703
80	1.4887591980221941
81	1.498304887302746
82	1.5372254946297108
83	1.5608848452232156
84	1.4521305690696718
85	1.467467992855152
86	1.4885128603124897
87	1.488333903317443
88	1.4251782569002671
89	1.4566409655442811
90	1.6977655618621377
91	1.4439942158527526
92	1.4961092188022445
93	1.5542405485003208
94	1.496218077805736
95	1.6228168004708738
96	1.6367398330112817
97	1.5954438582018629
98	1.5008915587571678
99	1.6830599280892322
100	1.5294454560315707
101	1.6676938425838514
