Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.360                                 1477.966                                  532.408                                
   0.373                                 1484.604                                  554.486                                
   0.337                                 1478.880                                  498.504                                
   0.381                                 1475.783                                  562.690                                
   0.362                                 1474.035                                  534.231                                
   0.354                                 1473.943                                  521.470                                
   0.343                                 1471.446                                  504.240                                
   0.357                                 1472.563                                  525.490                                
   0.381                                 1472.043                                  561.062                                
   0.350                                 1471.088                                  514.625                                
   0.384                                 1476.690                                  566.776                                
   0.378                                 1476.470                                  557.938                                
   0.380                                 1480.608                                  562.067                                
   0.384                                 1474.999                                  566.979                                
   0.370                                 1473.258                                  545.651                                
   0.380                                 1474.395                                  560.577                                
   0.326                                 1472.373                                  480.566                                
   0.375                                 1473.739                                  552.226                                
   0.366                                 1471.608                                  538.653                                
   0.337                                 1474.013                                  497.021                                
   0.339                                 1479.785                                  502.375                                
   0.359                                 1473.660                                  529.050                                
   0.359                                 1475.433                                  529.380                                
   0.302                                 1479.550                                  446.085                                
   0.335                                 1477.429                                  494.896                                
   0.333                                 1485.853                                  494.999                                
   0.337                                 1479.578                                  499.027                                
   0.364                                 1482.759                                  539.379                                
   0.352                                 1483.161                                  522.138                                
   0.357                                 1477.598                                  527.226                                
   0.358                                 1476.559                                  528.987                                
   0.387                                 1484.615                                  575.117                                
   0.378                                 1481.106                                  560.003                                
   0.341                                 1480.059                                  504.856                                
   0.362                                 1481.930                                  536.826                                
   0.372                                 1491.470                                  555.234                                
   0.357                                 1487.907                                  530.479                                
   0.404                                 1485.605                                  600.909                                
   0.370                                 1481.619                                  548.890                                
   0.366                                 1479.530                                  541.500                                
   0.373                                 1483.322                                  553.364                                
   0.365                                 1484.492                                  541.639                                
   0.382                                 1484.452                                  566.481                                
   0.399                                 1486.295                                  593.151                                
   0.390                                 1491.691                                  582.290                                
   0.357                                 1486.644                                  530.578                                
   0.352                                 1489.446                                  524.128                                
   0.369                                 1491.664                                  550.078                                
   0.380                                 1487.754                                  565.706                                
   0.394                                 1485.126                                  585.334                                
   0.369                                 1478.866                                  544.980                                
   0.378                                 1476.478                                  557.724                                
   0.369                                 1473.790                                  544.476                                
   0.376                                 1480.535                                  555.947                                
   0.355                                 1483.268                                  526.872                                
   0.347                                 1485.486                                  515.059                                
   0.362                                 1490.878                                  540.037                                
   0.364                                 1495.941                                  544.913                                
   0.357                                 1486.389                                  530.914                                
   0.358                                 1489.626                                  533.534                                
   0.374                                 1487.834                                  556.016                                
   0.374                                 1493.461                                  558.123                                
   0.401                                 1492.973                                  599.413                                
   0.355                                 1492.705                                  530.303                                
   0.357                                 1491.729                                  531.968                                
   0.370                                 1491.114                                  551.064                                
   0.323                                 1496.463                                  483.269                                
   0.364                                 1491.090                                  542.914                                
   0.340                                 1493.387                                  508.333                                
   0.350                                 1491.303                                  521.999                                
   0.342                                 1492.413                                  510.989                                
   0.365                                 1492.777                                  545.077                                
   0.370                                 1492.883                                  552.572                                
   0.357                                 1489.458                                  532.315                                
   0.365                                 1491.137                                  544.133                                
   0.341                                 1491.563                                  508.293                                
   0.345                                 1491.078                                  514.665                                
   0.366                                 1489.132                                  544.451                                
   0.359                                 1487.839                                  533.626                                
   0.351                                 1492.135                                  523.571                                
   0.361                                 1493.339                                  539.190                                
   0.370                                 1497.950                                  554.130                                
   0.373                                 1495.074                                  557.978                                
   0.370                                 1492.346                                  552.151                                
   0.351                                 1486.722                                  521.889                                
   0.346                                 1492.465                                  515.734                                
   0.347                                 1490.840                                  517.570                                
   0.354                                 1498.567                                  530.618                                
   0.370                                 1492.102                                  551.745                                
   0.351                                 1499.741                                  526.751                                
   0.347                                 1497.862                                  519.248                                
   0.331                                 1493.795                                  493.799                                
   0.362                                 1498.138                                  542.326                                
   0.346                                 1495.560                                  517.168                                
   0.334                                 1500.647                                  501.356                                
   0.354                                 1498.676                                  531.030                                
   0.338                                 1499.650                                  506.719                                
   0.350                                 1506.273                                  526.639                                
   0.355                                 1507.444                                  535.742                                
   0.350                                 1506.195                                  527.896                                
   0.354                                 1507.540                                  533.688                                
