Frame	Outer_hydrophobic_vol
1	1650.2880054469783
2	1656.3787937345842
3	1658.1577238360242
4	1665.2041377151402
5	1660.780159967224
6	1670.2672618001814
7	1668.5391332046809
8	1664.6559880046586
9	1661.6565662802218
10	1667.7193769739288
11	1655.3021366990956
12	1666.423674561966
13	1668.3546863283882
14	1660.4008635861087
15	1668.6325541371352
16	1668.6280694959614
17	1668.6722119107142
18	1668.695390974177
19	1656.335281097499
20	1666.5361250849471
21	1666.4384109352648
22	1650.9459648076258
23	1665.456521283498
24	1663.0177695303946
25	1656.2873292062588
26	1661.70185914506
27	1657.1814913098322
28	1665.5079435933644
29	1670.76725544349
30	1665.339469781974
31	1662.4464082181162
32	1659.3257078408324
33	1669.5829192641963
34	1653.7294134073318
35	1665.6673279641
36	1666.0780530301397
37	1668.5542472728046
38	1660.6299155720626
39	1668.5203961864026
40	1673.695743055535
41	1677.0578182864745
42	1666.600083950729
43	1659.3139852914765
44	1663.43338433495
45	1666.3250584735522
46	1661.0304950959132
47	1668.2564578748566
48	1673.1173226387848
49	1679.7092664932488
50	1672.710033576253
51	1662.972139168137
52	1663.0331559163951
53	1660.0286192471465
54	1661.8236000294337
55	1657.5926275840263
56	1668.889841836188
57	1677.7126622641406
58	1671.3613728642238
59	1670.6637399027613
60	1678.57933287965
61	1669.6889410801452
62	1664.4517369152502
63	1668.253507091509
64	1677.4861170672377
65	1674.601211965456
66	1676.50563423365
67	1681.0286069157216
68	1650.2868873403706
69	1663.3744904802047
70	1655.5086716467874
71	1668.2420607641718
72	1684.8922608160105
73	1680.1069863399994
74	1665.118177962439
75	1674.2106645444421
76	1681.9908665484916
77	1671.4591632045972
78	1657.4880851387509
79	1652.8237490730455
80	1664.462404863122
81	1663.0297810601944
82	1672.575877586799
83	1683.8298541385102
84	1681.373065597805
85	1681.9232921722357
86	1681.3293934864678
87	1674.4394526154674
88	1677.2711639821641
89	1661.999801021038
90	1665.9330981877858
91	1665.3133796877003
92	1660.3165678900207
93	1663.4632450088452
94	1668.5018339156316
95	1665.4340754359096
96	1678.015454228087
97	1670.372323925206
98	1679.9106847487997
99	1669.8040162860698
100	1676.6398831256024
101	1680.3291735262917
