Fraction of interaction surface(A)       Tot surface area(B)                      A*B                                     
   0.489                                 1473.356                                  719.936                                
   0.502                                 1476.640                                  741.760                                
   0.498                                 1475.029                                  734.508                                
   0.514                                 1476.323                                  758.320                                
   0.504                                 1471.804                                  742.342                                
   0.484                                 1477.895                                  715.291                                
   0.507                                 1475.465                                  748.038                                
   0.504                                 1469.758                                  741.295                                
   0.488                                 1472.672                                  718.303                                
   0.517                                 1472.102                                  760.886                                
   0.494                                 1472.384                                  726.754                                
   0.522                                 1477.331                                  770.819                                
   0.505                                 1478.789                                  747.146                                
   0.536                                 1475.009                                  790.704                                
   0.515                                 1477.268                                  760.093                                
   0.498                                 1478.149                                  736.499                                
   0.512                                 1480.170                                  758.146                                
   0.511                                 1476.191                                  754.393                                
   0.524                                 1477.132                                  773.797                                
   0.530                                 1475.002                                  781.160                                
   0.528                                 1480.637                                  781.714                                
   0.521                                 1473.940                                  767.820                                
   0.524                                 1476.701                                  773.244                                
   0.517                                 1476.214                                  763.455                                
   0.529                                 1476.112                                  781.420                                
   0.514                                 1475.441                                  758.737                                
   0.494                                 1474.881                                  728.019                                
   0.470                                 1474.376                                  693.119                                
   0.487                                 1476.369                                  719.719                                
   0.479                                 1475.893                                  706.984                                
   0.508                                 1476.521                                  749.459                                
   0.553                                 1472.027                                  814.140                                
   0.517                                 1475.610                                  763.084                                
   0.470                                 1474.128                                  692.393                                
   0.485                                 1471.818                                  713.259                                
   0.530                                 1477.105                                  783.235                                
   0.506                                 1476.944                                  747.488                                
   0.492                                 1477.866                                  726.883                                
   0.484                                 1476.698                                  714.753                                
   0.488                                 1488.342                                  726.495                                
   0.500                                 1480.529                                  740.265                                
   0.517                                 1480.566                                  765.392                                
   0.512                                 1475.128                                  755.532                                
   0.506                                 1476.418                                  746.345                                
   0.531                                 1475.512                                  784.000                                
   0.506                                 1476.614                                  746.877                                
   0.486                                 1478.889                                  718.391                                
   0.518                                 1476.406                                  765.179                                
   0.505                                 1476.183                                  744.946                                
   0.519                                 1475.081                                  765.364                                
   0.498                                 1472.309                                  733.160                                
   0.527                                 1471.559                                  775.921                                
   0.544                                 1471.312                                  800.981                                
   0.534                                 1472.043                                  786.001                                
   0.537                                 1469.020                                  788.223                                
   0.505                                 1482.388                                  748.486                                
   0.543                                 1476.557                                  802.365                                
   0.528                                 1474.425                                  778.619                                
   0.557                                 1477.735                                  823.102                                
   0.507                                 1483.834                                  752.204                                
   0.523                                 1474.736                                  770.710                                
   0.526                                 1470.052                                  773.846                                
   0.501                                 1479.944                                  741.257                                
   0.512                                 1477.344                                  756.657                                
   0.519                                 1479.436                                  768.036                                
   0.496                                 1483.109                                  735.529                                
   0.523                                 1485.211                                  776.126                                
   0.536                                 1471.959                                  789.373                                
   0.526                                 1476.827                                  777.435                                
   0.508                                 1476.828                                  749.576                                
   0.500                                 1486.625                                  743.312                                
   0.481                                 1487.453                                  715.071                                
   0.508                                 1482.808                                  752.982                                
   0.534                                 1479.762                                  790.863                                
   0.550                                 1482.178                                  815.326                                
   0.527                                 1482.896                                  782.016                                
   0.544                                 1478.382                                  803.934                                
   0.527                                 1477.626                                  779.237                                
   0.504                                 1475.595                                  743.849                                
   0.496                                 1474.802                                  730.948                                
   0.528                                 1476.303                                  780.185                                
   0.489                                 1481.470                                  723.930                                
   0.506                                 1486.927                                  751.662                                
   0.531                                 1488.097                                  789.770                                
   0.521                                 1488.622                                  775.161                                
   0.509                                 1490.963                                  759.416                                
   0.484                                 1491.169                                  721.363                                
   0.472                                 1488.436                                  701.840                                
   0.517                                 1479.213                                  765.317                                
   0.495                                 1475.677                                  730.117                                
   0.516                                 1479.857                                  763.172                                
   0.484                                 1476.296                                  714.585                                
   0.511                                 1477.060                                  754.875                                
   0.513                                 1483.417                                  760.660                                
   0.512                                 1478.945                                  757.048                                
   0.504                                 1481.919                                  746.553                                
   0.511                                 1483.855                                  758.243                                
   0.536                                 1484.064                                  795.715                                
   0.497                                 1487.947                                  739.640                                
   0.510                                 1486.303                                  758.204                                
   0.519                                 1482.986                                  769.433                                
