Frame	ROG of Dendrons [ALL BEADS]
1	1.3016315086400194
2	1.3152752573127937
3	1.2920630524256123
4	1.2972712870759995
5	1.290194554144536
6	1.308645472167682
7	1.3024721306051992
8	1.3113311733960316
9	1.2914704536775972
10	1.2995329098734818
11	1.316318967080927
12	1.2988371820088542
13	1.2830974351977187
14	1.2951459552871518
15	1.2938969413201236
16	1.2966214453537563
17	1.293621024535191
18	1.3060749542358414
19	1.3034519395212067
20	1.3021259608637201
21	1.311246228669471
22	1.3068973566839293
23	1.2925026732161538
24	1.2736756201794595
25	1.3060506986254559
26	1.2978616747631024
27	1.2785969105257269
28	1.284790552110352
29	1.3000231756775167
30	1.3064437054278004
31	1.2972377660535135
32	1.2763085600206454
33	1.295593823065949
34	1.2865492430586996
35	1.296580095313971
36	1.3029531189182342
37	1.2915877445519217
38	1.2820858366843486
39	1.2986603436441746
40	1.2823609462855958
41	1.3083204528906631
42	1.3094331984098206
43	1.3035331476457392
44	1.2927406572777642
45	1.2958063184218906
46	1.310247901194643
47	1.292246188959672
48	1.2962834680063555
49	1.3013575923391225
50	1.3037015330787405
51	1.2860324631690527
52	1.3064548777222424
53	1.3009013818418367
54	1.3137120875076436
55	1.2965455393990966
56	1.308810900640273
57	1.2996299390877775
58	1.31163098645541
59	1.3005324971901306
60	1.3248778642772945
61	1.296627608648545
62	1.2935566176718334
63	1.2929047939072016
64	1.2912236251909575
65	1.30321712865015
66	1.2982374118817432
67	1.3047595252098012
68	1.3006746614439622
69	1.3008923808317585
70	1.3053693887952693
71	1.3202645767756016
72	1.303431403477959
73	1.2954514033970566
74	1.2951137407604159
75	1.315937478818621
76	1.3207410127367532
77	1.313004359194953
78	1.305814474994898
79	1.2934515239625193
80	1.3051554950667303
81	1.2861250690459518
82	1.2716744674978386
83	1.2837831023795343
84	1.3098290327980178
85	1.3105169040162086
86	1.2950714940678243
87	1.2919672801369022
88	1.2879207587603336
89	1.317154616274
90	1.2966473022987117
91	1.2898165998579074
92	1.2848062271985314
93	1.287596004710186
94	1.2824776895236223
95	1.2825537943186232
96	1.3000747028762096
97	1.298882289581099
98	1.290476691373783
99	1.280568969967062
100	1.2852625145104704
101	1.317272014432225
