Frame	ROG of Dendrons [P3]
1	1.146896796016981
2	1.163011044343621
3	1.174668273810818
4	1.1673394220150923
5	1.1674194435700225
6	1.1612300950953296
7	1.3410069859840406
8	1.1530142317822702
9	1.1670469395729173
10	1.1653119870090534
11	1.1813492370490903
12	1.1721757786274922
13	1.151540165678406
14	1.1650174399766215
15	1.1616908451232089
16	1.156456867281896
17	1.167596582037278
18	1.1545714810690089
19	1.1651510400209601
20	1.1720931326444959
21	1.1869321396055499
22	1.1599847627050552
23	1.1700550947110033
24	1.3008240793504806
25	1.1687970458951933
26	1.1778065993251088
27	1.1692612721755027
28	1.1665993645475057
29	1.1567763554065316
30	1.1536794762069718
31	1.150490945688187
32	1.18475484298868
33	1.1831431138764725
34	1.1823581243114363
35	1.1920273729123867
36	1.1797364351035724
37	1.1616314899835076
38	1.1570187020615457
39	1.1588179629324487
40	1.1583521812308943
41	1.170969137521327
42	1.161946457426209
43	1.1811927186769435
44	1.1737685943936709
45	1.1643495539436146
46	1.1696397664719351
47	1.1680878880836645
48	1.1661479136106634
49	1.1615410695410042
50	1.1651461750881933
51	1.1674834280001318
52	1.1716182694693635
53	1.1786760733886557
54	1.1623667078875763
55	1.1678974142164187
56	1.146177411544425
57	1.174891896884665
58	1.1762334459540988
59	1.1622578012108074
60	1.1471610450817142
61	1.160657040983368
62	1.1697963483633633
63	1.1931316844822184
64	1.1807883915821717
65	1.180371570632658
66	1.1768788231026834
67	1.1658028213687497
68	1.1761410850281198
69	1.173258859167847
70	1.1498831145961785
71	1.1647476418244538
72	1.1763763708922144
73	1.1765252190576712
74	1.1804457137454105
75	1.1756430257965642
76	1.1622917817116072
77	1.1680887301158178
78	1.1750575088843431
79	1.1515865877573717
80	1.1595282297294234
81	1.1496053453976558
82	1.1837936593394116
83	1.171037037806409
84	1.306698794038459
85	1.1528882301607208
86	1.1601824253132638
87	1.1627833942736219
88	1.179286685320458
89	1.3864366704305668
90	1.1722070266025701
91	1.1844643933645773
92	1.1506778774951656
93	1.1477627089239375
94	1.4294546179938687
95	1.3535821020249486
96	1.1584492438615996
97	1.1798720518241927
98	1.1705429098538742
99	1.1881803715042023
100	1.1801606126448987
101	1.18135453967622
