Frame	ROG of Dendrons [TA]
1	1.5956207401723494
2	1.5855674377090168
3	1.5969586015467363
4	1.6409448564330253
5	1.6269484309534896
6	1.605320665912931
7	1.6021851176231527
8	1.6059543332797643
9	1.6023650991216656
10	1.6018019705677273
11	1.5902151567813763
12	1.5813120124822426
13	1.5874913076264305
14	1.6018002621823482
15	1.6172946911445887
16	1.5684455270728466
17	1.5818509341314344
18	1.5852126624324094
19	1.5817816286923292
20	1.607863636665396
21	1.5985204548043037
22	1.60805438514246
23	1.6112013348295173
24	1.5948883334191948
25	1.6064892217757285
26	1.608669537062042
27	1.5965003289510427
28	1.5866263313098694
29	1.6104948426730374
30	1.6161598745056687
31	1.5984624712399984
32	1.6076159978315356
33	1.5768639513128972
34	1.5754417919190942
35	1.5934203552477544
36	1.5934377345330375
37	1.6088256023916703
38	1.6159116278148309
39	1.59765391713023
40	1.5879246756278036
41	1.6180402606064366
42	1.6050838242961256
43	1.597598987771628
44	1.6059875327410111
45	1.596838937300334
46	1.6205413699807047
47	1.5900228302096264
48	1.6154537147077137
49	1.5931234609479425
50	1.5863478456530078
51	1.5954272782810437
52	1.6081951534561012
53	1.6079809661227922
54	1.581831869332724
55	1.5945207019972603
56	1.575705022093817
57	1.6273629588227168
58	1.6123380152642681
59	1.591297926109369
60	1.5704405092299887
61	1.593084466989111
62	1.599068558066511
63	1.5852560883582065
64	1.5877923507767846
65	1.5997121527646267
66	1.6118010334225952
67	1.6243811732590063
68	1.5913507374178186
69	1.5797802236377563
70	1.5855544262939334
71	1.5998360587192666
72	1.5853226693505242
73	1.6283776283871545
74	1.596703947973295
75	1.5809799493288528
76	1.5895663664634074
77	1.5743222775625787
78	1.6004808928280814
79	1.59196387145181
80	1.5963600044135444
81	1.5912346777378878
82	1.586547626775861
83	1.5977305443180603
84	1.5791719038663123
85	1.616456820345016
86	1.622737279627661
87	1.6103788866159372
88	1.5919434023217311
89	1.6028962483544051
90	1.5810543503647012
91	1.56107173709736
92	1.5792965018621166
93	1.5885046581645053
94	1.6028925062075385
95	1.6024893595392187
96	1.5990572058397001
97	1.5941099391797462
98	1.5507638745070629
99	1.6201423616315938
100	1.6078623395072278
101	1.5857546473128459
