Generation,pH,Concentration,ROG_DENS_TA,TA-TA,TA-PO4,Den_layer_thickness,DHS_TAbeads,AND_results,hydrophobic_vol,packing_factor,Thickness_Bilayer,
G1,ACIDIC,72,0.7963905000392794,0.010237479402178687,0.8946977896253093,0.4622928389514505,0.14311138613861385,5.364418635988598,1682.2675529834462,0.7941879198752949,3.825903465346535,
G1,ACIDIC,127,0.7959955397645232,0.023526375615546914,0.8751913601865369,0.5583904591245249,0.24487871287128712,4.30110422469215,1691.5376263631058,0.7950470358040533,3.8629801980198017,
G1,ACIDIC,162,0.7981673654389906,0.0386239060857421,0.8767529111097123,0.4689299830229438,0.3150759075907591,3.7456419628664475,1693.9945459774021,0.7950614533494841,3.872405940594059,
G1,ACIDIC,199,0.8022014666558944,0.0573088354758776,0.8612185677843639,0.48870673343117804,0.3791181818181818,3.396564895450094,1700.3940294368688,0.7953059826437684,3.8943636363636362,
G1,ACIDIC,200,0.7959129477810097,0.05106114072535737,0.8631384164847992,0.5230333033516367,0.369976897689769,3.487099371122878,1677.7310957817547,0.7934527911170057,3.859036303630363,
G1,ACIDIC,241,0.79624701151045,0.07871496373183931,0.8517866331607973,0.5290982131953663,0.4583712871287129,3.0980955615286487,1690.799867686561,0.7924533086683425,3.8452648514851484,
G1,ACIDIC,288,0.7952838798295273,0.10119817737568833,0.8291294292246497,0.586411250012545,0.5098019801980198,2.9750428317451405,1703.5151769113143,0.7948340620587508,3.8482970297029704,
G1,ACIDIC,338,0.7959434314090429,0.13726613967669452,0.817444353897743,0.5997138546419991,0.5778745874587459,2.6878759919228137,1698.9129466377863,0.7935583561761709,3.8624323432343233,
G1,ACIDIC,392,0.7933461354862237,0.17094749608140727,0.7977208963928547,0.6151471051305789,0.6192376237623762,2.5041190806650513,1706.059671651927,0.7943094713640023,3.8647260726072608,
G1,ACIDIC,449,0.7927554276625136,0.21955663027008984,0.7725952636242779,0.6414952643453965,0.6721485148514852,2.314608465215863,1695.1007130190749,0.7933558602338596,3.853009900990099,
G1,ACIDIC,512,0.7920033038441576,0.25595476349631435,0.7493388727310951,0.7085161301683761,0.7059950495049505,2.1988793853862947,1681.9774960730285,0.7923900090692142,3.8140247524752477,
